// Emperor Wars Damage Table													
// By Luxor													
{													
//	1-5	1-4	1-3	1-2	1-1	2-1	3-1	4-1	5-1	6-1	7-1	8-1	
//-------------------------------------------------													
"	3	6	21	36	46	56	66	76	81	86	91	93	"
"	4	7	22	37	47	57	67	77	82	87	92	94	"
"	5	8	23	38	48	58	68	78	83	88	93	95	"
"	6	9	24	39	49	59	69	79	84	89	94	96	"
"	7	10	25	40	50	60	70	80	85	90	95	97	"
"	8	11	26	41	51	61	71	81	86	91	96	98	"
"	9	12	27	42	52	62	72	82	87	92	97	99	"
"	10	13	28	43	53	63	73	83	88	93	98	100	"
"	11	14	29	44	54	64	74	84	89	94	99	100	"
"	12	15	30	45	55	65	75	85	90	95	100	100	"
}													
