// Relics Table
//
// The relics need to remain in the order below.  New ones get added onto
// the end.  Each line has a string indicating where the affect is (galaxy,
// planet, stack), followed by a number indicating the bonus, followed by the
// name and a description.
//
// For now, the name has a limit of 31 characters and the description has
// a limit of 63 characters.
{
"galaxy"  "50" "Cup of Righteous Plenty" "Planet Tax collecting bonus"
"galaxy"  "30" "The Prophet's Signet"    "Church diplomacy bonus"
"planet"  "25" "Scythe of Bounty"        "Planet food production bonus"
"planet" " 50" "Foot of St. Ignatius"    "Helps cure plague on planet"
"stack"   "50" "Hand of St. Ignatius"    "Stack defense bonus"
"stack"    "4" "Eye of the Prophet"      "Stack accuracy bonus"
"stack"   "50" "Rod of Holy Smiting"     "Stack strength bonus"
"stack"  "200" "Lamp of Knowledge"       "Laboratory research bonus"
"stack"  "100" "Zebulon's Spade"         "City productivity bonus"
"galaxy"  "30" "Mirror of Forgiveness"   "Other Houses like you more"
"stack"  "100" "St. Almathea's Lancet"   "Prevents plague in stack"
"stack"    "8" "Ven Lohji's Mandala"     "Stack Spot Bonus"
"stack"    "8" "Hombor's Worn Cloak"     "Stack Camo Bonus"
"stack"   "50" "Maya's Crown of Thorns"  "Stack Psy Defense Bonus"
"galaxy"  "30" "St. Paulus' Stein"       "League diplomacy bonus"
"galaxy"  "50" "St. Lextius' Banner"     "Galaxy-wide Unit Pay Reduction Bonus"
"galaxy"  "50" "St. Wiold's Scales"      "Galaxy-wide Tithe Collection Bonus"
"planet"  "25" "Amalthean Heart"         "Planet-wide Healing Bonus"
"stack"   "50" "St. Paulus' Talaria"     "Stack Movement Rate Bonus"
"stack"    "4" "Sabaton of St. Mantius"  "Stack Agility Bonus"
"galaxy"  "50" "Hombor's Cup"            "Galaxy-wide Agora Restock Bonus"
}
// Added 10 new artifacts
// V2022-12-05 (Nikolai): Nerfed Eye of the Prophet from 8 (+40% CTH) to 4 (+20%CTH)
